PMID,label,method
38032977,both,serum creatinine-only estimated glomerular rate
38030951,both,DeepSurv
38029922,text mining,deep learning model
38029270,text mining,Weighted Gene Co-expression Network Analysis
38026271,other,Chest X-ray (CXR) image classification
38014372,text mining,random forest (RF) model
38010436,text mining,Deep-learning computer-aided lung nodule detection
38004422,other,artificial intelligence
37997266,other,email-based notification system
37987832,both,deep learning model
37976312,other,deep learning models
37969363,text mining,deep learning-based model
37966063,both,DL
37961570,both,deep learning-based approach
37961168,other,DeepAutoCoV
37958038,other,machine-learning classifiers
37957848,text mining,deep learning-assisted identification method
37952642,other,Deep Learning Prediction Model
37952058,computer vision,Image-based methods
37948388,other,machine learning
37934728,other,regression model
37930788,other,deep learning models
37926737,other,Natural language processing
37920015,other,"computational analysis of the proposed method, focusing on sensitivity analysis and overfitting analysis"
37914284,other,machine learning
37908549,text mining,manual segmentations of 600 chest CT examinations
37907027,other,DL-based imaging
37906722,other,Deep learning methods
37904407,other,ML
37903855,other,Sybil
37901957,other,convolutional neural network
37889739,both,sensor technologies
37881381,other,targeted screening
37872390,text mining,sequence-to-sequence-based attention network
37869094,text mining,retrospective biopsy
37863921,text mining,bidirectional LSTM
37862318,other,Friedman test
37858448,other,neural networks
37855699,other,Manually annotated prostate masks
37851640,other,physics-informed neural network
37851434,text mining,Deep learning
37847669,both,Cox proportional hazard model
37847663,other,deep learning
37847532,other,distributed lag nonlinear model
37845769,other,"sequence-based, ab initio"
37845724,computer vision,deep-learning
37844797,both,CT scan features
37843893,computer vision,transformer-based classification system
37841738,text mining,Ct-based model
37835451,other,deep learning algorithms
37818349,other,deep learning
37808872,other,improved correlation with postmortem histology
37781001,other,mining large EMR data + deep learning-based analysis
37780897,other,in-depth analyses of notable case studies
37774040,both,DL models
37768965,other,deep learning algorithms and classical Cox proportional hazard models
37768241,text mining,deep learning model
37767905,other,Computed tomography
37761333,computer vision,Machine Learning
37755576,text mining,deep learning
37752266,other,binary prediction
37751215,other,automated DL approach
37745529,other,deep learning
37736834,other,deep-learning framework
37722566,other,RF
37721426,other,retrospective registry-based design
37704266,both,Support vector machine-based automated grading
37696183,other,data-driven method
37683009,other,multi-input multi-output
37673824,other,multi-omics data integration
37673571,other,ML-based methods
37662232,text mining,Deep learning
37660044,other,machine learning
37659103,both,SiDRP validation
37650967,other,expert manual segmentations
37648884,other,PRISMA technique
37646016,other,modern interpretability techniques
37642981,other,artificial intelligence computer-assisted detection
37632091,other,physics-informed neural networks (PINNs)
37621210,other,multimodal deep learning
37620651,other,GCAP
37615630,other,Multimodal deep learning
37615430,text mining,deep learning method
37612646,text mining,deep learning algorithm
37611115,text mining,deep learning approach
37602215,other,"deep-learning model, DeepAnchor"
37590877,text mining,Cox regression
37585250,text mining,machine learning and SNS data
37576311,other,time-series deep learning models
37566298,computer vision,Deep neural network-based clustering
37562159,both,multivariable Cox proportional hazards models
37555737,both,semi-supervised learning method
37552409,other,deep learning algorithms
37549921,both,deep learning-based classifier model of medical image classification
37544265,text mining,sensitivity analyses
37538741,other,deep learning
37537887,text mining,deep learning
37536450,other,machine learning
37531723,text mining,automated deep-learning algorithm
37528480,text mining,Kaplan-Meier method
37527236,other,deep learning-based language models
37516796,other,Whale Optimization Algorithm
37515242,text mining,DCR-based deep learning model
37494846,text mining,Deep-ITH
37489527,other,claim-matching by means of deep learning Natural Language Processing
37488222,other,digitized WSI
37471397,other,deep-learning models
37468377,text mining,AI algorithm
37466189,text mining,two-point Dixon method
37464415,both,neural network-based prognostic predictive tool
37459304,text mining,deep learning analysis
37455284,other,machine learning
37451271,text mining,imaging-based deep learning
37441549,other,machine learning models
37440249,computer vision,deep learning
37438161,other,ensemble averaging
37436867,other,deep learning
37434445,other,deep neural network model
37429512,other,EHRs
37428248,text mining,deep learning algorithm
37421734,other,temporal convolutional neural network
37418053,both,A comprehensive systematic search
37413999,text mining,Pathway enrichment analysis
37395630,other,deep learning variable selection
37393788,other,FedImpPSO
37381910,both,Deep neural networks
37370031,computer vision,a dataset comprising skin images
37354819,other,DL methods
37354142,computer vision,ConvCoroNet
37349390,other,automated plaque assay
37342184,text mining,random forest method
37342054,both,deep learning
37340005,other,County Augmented Transformer
37331824,text mining,deep-learning reconstruction and motion correction algorithms
37325324,other,data-driven methods
37318609,other,bivariate analysis
37316372,other,Kidney Disease Improving Global Outcomes serum creatinine criteria
37307664,other,discrete wavelet transform (MODWT) based autoregressive neural network
37297547,other,adaptive gradient LSTM model
37295898,other,machine learning
37295047,other,hematoxylin-eosin-stained slides
37293118,text mining,deep learning
37292965,both,deep learning
37289978,text mining,deep learning models followed by radiologist review
37286945,other,DL algorithm
37285245,other,Deep learning
37280316,other,Multivariable analysis
37277578,text mining,DeepSurv
37276449,text mining,automatic liver attenuation region-of-interest-based measurement
37266656,both,deep-learning-based automated quantification software
37265875,other,deep-learning-based retinal biomarker
37258923,other,deep learning-based technique
37254942,other,deep neural networks
37253496,other,SHapley Additive exPlanations
37248229,text mining,deep learning model
37238994,other,advanced deep learning
37227330,text mining,detection model
37220017,other,transfer- learning
37213516,other,deep learning
37213271,text mining,deep learning survival predictive tool
37209975,text mining,cluster the AKI population in ICU settings into 3 distinct subphenotypes
37209183,both,Deep learning techniques
37172093,other,standardized magnetic resonance imaging
37168659,text mining,Linear regression models
37167840,computer vision,deep learning
37166185,computer vision,SMOTE-NC
37165971,other,deep learning
37163694,other,Sentence Bidirectional Encoder Representations From Transformers
37163049,other,REpresentation learning for Genetic discovery on Low-dimensional Embeddings
37161130,other,Mixup
37156936,other,artificial intelligence
37154930,other,DeepSurv
37150781,both,interpretable deep learning
37146469,other,experimental
37138645,other,machine- and deep-learning
37128461,other,electronic health record (EHR) data
37114869,text mining,spatiotemporal deep forest
37110493,other,deep learning
37100904,other,geometric deep-learning framework
37097142,both,The Youden index
37095759,text mining,computer-aided detection
37093602,other,generalized linear models
37088416,other,deep learning algorithms
37080767,other,deep learning approach
37074923,both,computer-aided quantification of ILD extent on HRCT
37072608,other,spectral transformations
37071168,both,deep learning and optimal-surface graph-cut method
37069849,other,ab initio modeling tools
37059905,both,multivariable analysis
37058755,both,deep learning (DL) algorithms
37057112,computer vision,Transfer learning
37055729,text mining,deep learning
37055258,both,deep learning algorithm
37051218,both,deep learning and neural network (DeepSurv) model
37041318,other,deep learning
37038364,both,deep learning
37033011,other,Preferred Reporting Items for Systematic Reviews and Meta-Analyses
37027675,other,attention mechanism
37022959,other,LSTM deep learning
37019579,other,Aortic Strain and Distensibility
37016984,text mining,computed tomography
37016684,other,Deep Learning
37012546,text mining,multivariable analysis
37012269,computer vision,retrospective analysis
37012131,text mining,magnetic resonance imaging
37006559,other,Deep learning
37005484,other,two-step feature selection method
37001972,computer vision,AI-based choroidal segmentation software
36998083,text mining,deep-learning algorithm
36996662,other,Epi-DNNs
36996627,text mining,leave-one-centre-out cross validation
36994203,text mining,Deep learning model
36981517,other,RNN-GRU) model
36976297,other,BLEACH&STAIN mfIHC
36974740,text mining,deep learning natural language processing approach
36966922,text mining,artificial intelligence
36962770,other,data-driven
36959782,both,deep learning survival neural network
36959532,other,realistic analysis
36947110,text mining,automatic algorithm
36945456,text mining,deep-learning algorithm-assisted structural model of ORF34
36929727,computer vision,deep learning approach using convolutional neural networks
36929398,other,deep learning algorithm
36929044,text mining,deep learning
36927504,other,deep learning model
36914765,other,deep learning
36913554,other,machine/deep learning
36911211,other,Natural Language Processing
36910327,other,deep learning model
36909463,other,artificial intelligence
36905470,both,Delong method
36900077,other,artificial intelligence
36892645,both,abdominal ultrasound scan
36873621,other,sciPENN
36858267,computer vision,deep learning model
36855184,other,TransCode
36855134,other,weakly-supervised machine learning techniques
36853848,other,big data
36850363,other,to measure FOG objectively
36848828,computer vision,the original and augmented datasets
36847255,both,scoping review
36833925,other,faceted Rasch item response theory with deep learning
36826989,other,convolutional variational autoencoder-based deep learning
36823621,both,Adjusted multivariate logistic regression
36821889,other,deep learning model
36819079,other,deep learning (DL)
36817090,other,exploratory analysis
36816916,text mining,Decision tree analysis
36807383,other,deep neural network in conjunction with penalization
36805232,other,machine learning
36789031,other,classical machine learning and deep learning
36787376,both,deep learning models
36780207,other,multiattention-long short-term memory
36774395,other,convolutional neural network
36772841,text mining,microarray
36768205,other,DeepsmirUD
36767498,other,convolutional neural network model
36747280,computer vision,deep learning methods
36746615,both,retrospective external validation
36745490,text mining,deep learning
36729536,text mining,ComBat approach
36729506,other,machine learning algorithm
36719266,computer vision,deep-learning artificial intelligence software
36713005,other,Deep neural networks
36711809,other,to measure FOG objectively
36711394,other,"CiteSpace, VOSviewer, and COOC software"
36696166,both,Machine Learning
36694118,other,Lifetime Risk Pooling Project
36691041,both,Cox proportional-hazards models
36689543,other,recurrent neural network architecture
36688017,text mining,MRI-based deep learning model
36653488,other,deep learning framework
36650803,other,Machine Intelligence (MI)
36649070,other,causal structure learning
36631766,other,deep neural networks
36628797,other,LIGHTED
36621078,other,deep learning
36620271,other,interactive multimodality emotion recognition
36619510,both,descriptive analysis
36612939,other,ensemble empirical mode decomposition
36602767,other,satellite-captured data
36601453,text mining,FG)
36598653,text mining,deep learning-based analysis
36593394,other,in silico perturbations
36587059,text mining,genome-wide association study using UK Biobank data
36585627,text mining,Generalized Neural Additive Model
36583386,other,deep learning modeling
36580391,other,fundus photographs
36576736,text mining,routine chest radiographs and other data automatically extracted from the EMR
36568200,other,deep learning survival neural network
36564712,other,Natural Language Processing tools
36563964,both,deep-learning-based algorithm
36554515,both,Global Moran's I and hotspot analysis methods
36548306,other,deep learning techniques
36544059,text mining,"Random Forest, a tree-based machine learning (ML) algorithm"
36536075,other,machine learning
36535080,text mining,retrospective
36515949,text mining,real-time prediction model
36508748,text mining,deep learning
36505893,both,"AI-based app to help predict fluid via a ""fluid score"
36481699,both,deep learning algorithm
36477816,text mining,cross-diagnostic and single-disorder setup
36464227,other,Spontaneous reporting
36463885,computer vision,deep learning methods
36463562,other,deep learning-based
36461616,other,Deep Learning LSTM
38260182,other,hip-worn accelerometers
36447415,text mining,multivariable Fine and Gray regression models
36447293,both,Cox proportional hazards regression models
36438691,other,machine learning model
36434508,both,multimodal model
36431321,other,DL-based model
36430024,other,Korean Genome and Epidemiology Study-Ansan and Ansung baseline survey
36424025,other,Machine learning and deep learning algorithms
36422090,computer vision,holistic approach
36418429,other,a database of Wing Interference Patterns
36382260,other,deep-learning and artificial intelligence
36380258,other,vector auto regression
36376286,other,causal deep learning
36374346,both,machine learning system
36374004,other,deep learning
36368762,both,novel statistical techniques
36367544,other,deep learning
36361178,other,Logistic regression analysis
36355921,other,machine learning
36352317,text mining,deep learning method
36346934,text mining,natural language processing and deep learning
36340356,other,visible/near-infrared hyperspectral images
36339684,other,autoencoder
36333876,text mining,multi-omics clustering
36333318,other,Deep learning techniques
36330561,text mining,deep learning algorithm
36307509,other,computational
36294134,other,artificial intelligence modeling on the Google Colab platform
36292015,other,iterative reconstruction and deep learning algorithms
36280197,text mining,self-reporting
36277009,other,association rule method
36268091,other,Bladder4Net
36260674,other,network analysis and graph neural networks
36253103,text mining,1 harmonized PVS rating method
36240224,other,image classification
36231828,other,multi-head attention mechanism
36231500,computer vision,Deep Learning process
36229500,other,historical cohort study design
36227653,other,a model that considers time series
36222700,text mining,deep-learning named-entity recognition model
36220099,other,deep learning image analysis
36216232,other,Kernelized-AutoEncoder algorithm
36207091,other,AI based technique
36193283,both,AI-assisted diagnostic techniques
36189325,other,transfer learning approach using pretrained deep learning models
36176468,both,Deep learning
36162805,other,GRU-D
36154661,text mining,machine learning
36150046,both,deep learning-based methods
36127649,both,boosting approach
36118158,both,Generalized linear mixed model
36115938,computer vision,pre-processing pipeline
36114218,both,machine-learning
36105452,other,deep learning neural network algorithm
36096039,text mining,Imaging-derived biomarkers
36093379,other,deep neural networks with training samples compiled using an optimized data annotation strategy
36089473,other,machine learning models
36072795,other,multivariate Cox regression or binary classification-based machine learning
36063688,other,MSDTL
36056746,other,DeepGenomeScan
36051929,text mining,double residual convolution neural network
36051507,text mining,Mendelian randomization (MR)
36036358,other,longitudinal approach
36033454,text mining,Deep learning neural networks
36030722,other,Machine learning
36030468,other,"Surveillance, Epidemiology, and End Results (SEER) database"
36029873,text mining,text mining
36013506,other,AI
36010173,other,deep learning
36006653,text mining,Macular curvature
36005433,other,artificial intelligence (AI)-based tissue characterization
35991702,other,machine learning or deep learning techniques
35991144,other,LSTM deep learning model
35991015,computer vision,three-layer graph convolutional network
35979158,other,artificial intelligence system
35959675,text mining,12-lead ECGs
35951046,text mining,deep learning method
35946631,other,machine learning (ML) and deep learning (DL) models
35943339,text mining,Online supplemental material
35943338,text mining,deep learning algorithm
35942743,other,SEIR-LSTM/GRU algorithm
35927066,computer vision,longitudinal data
35926935,other,Deep learning analysis
35915642,other,A novel approach for COVID-19 assessment
35902171,text mining,deep learning
35901181,other,Genetic Algorithm
35901027,text mining,deep learning
35900968,other,deep learning method
35900728,text mining,FC quantification
35891394,other,data-driven modeling
35885865,other,Hybrid Deep Learning Model
35885449,other,PRISMA search strategy
35880520,computer vision,restricted cubic splines analysis
35878824,other,deep learning algorithm
35876790,text mining,deep learning model
35869169,other,polysomnograms
35867160,text mining,deep learning
35852829,other,machine learning
35846287,other,cluster sampling method
35844896,other,machine learning
35835438,both,ConvLSTM
35832894,other,Deep learning
38505255,other,internal validation
35798257,text mining,MLTs
35794110,other,simulation-based approach
35780211,other,saliency methods
35777684,other,deep learning
35760115,other,deep learning algorithms
35757479,other,simulation
35753606,other,Knowledge Graph(KG) embedding
35748080,text mining,GP method
35741292,other,four kinds of class activation maps (CAM) models
35737602,other,targeted bidirectional EHR transformer
35735918,text mining,artificial intelligence (AI) based on deep learning
35731290,both,retrospective analysis
35713866,other,biomedical literature mining
35711777,other,deep learning
35708686,computer vision,DL system
35702351,text mining,Machine Learning-Based Algorithms
35697867,other,magnetic resonance imaging
35696432,other,deep learning
35682349,other,anomaly detection
35681961,other,LSTM deep learning
35673119,text mining,attention-based time-aware model
35671297,other,risk assessment program
35660417,other,Post hoc analysis
35632811,other,Unsupervised machine learning approaches
35632066,other,deep learning paradigms
35627647,other,deep learning neural network and random forest classifier
35627495,other,machine learning techniques
35626438,other,tracings from two trained radiologists
35626403,other,deep learning
35618002,text mining,radiologist density assessments
35612154,other,deep learning model
35612021,other,WCE
35610333,other,integrated diagnostics
35597555,text mining,liquid culture
35594019,other,bioinformatics
35591208,other,Long-Short Term Memory (LSTM) Recurrent Neural Network
35583845,other,stratified cluster random sampling strategy
35579812,both,machine learning
35579519,both,automated deep learning algorithm
35564493,other,machine learning and deep learning algorithms
35562369,other,Variational Autoencoder (VAE) neural network
35554875,text mining,logistic regression and deep learning methods
35534142,other,machine learning and deep learning
35495884,other,transfer learning and parameter optimization
35491970,text mining,deep learning-based prognostic model
35489596,other,Multi-task Gaussian Process
35468739,other,deep learning method with multiple loss object
35456454,other,clustering
35455038,other,The Area under the Curve
35449179,other,deep learning algorithm
35446781,both,deep learning model
35439258,other,machine learning
35432171,other,take into account the whole imaging data combined with clinical data available at baseline
35430853,other,deep network model
35419081,other,decomposition-reconstruction(R)-prediction-integration
35417459,other,deep learning methods
35414041,text mining,cerebellum
35407308,computer vision,deep learning technique
35405588,text mining,deep learning algorithm
35404262,other,deep neural sequence models
35396373,text mining,real-time deformability cytometry
35389371,other,Lasso method
35381451,other,in silico screening
35381190,text mining,deep artificial neural networks (DANN) model and an instance hardness threshold algorithm
35380492,text mining,multinomial logistic regression
35373824,other,Deep learning
35361642,other,deep neural network model
35360552,computer vision,deep-learning-based classification model
35353118,both,real-time system for fully automated interpretation of echocardiogram videos
35352798,other,deep learning
35351695,other,data for women aged 20-90 years between 2000 and 2020 from QResearch
35351363,other,automated opportunistic screening tool
35345312,other,machine learning approach
35344562,other,end-to-end learning
35338425,computer vision,deep learning algorithms
35328275,other,deep learning techniques
35326001,computer vision,AI-based telescreening
35325073,other,deep-learning classifier
35314683,other,deep learning of mid-infrared spectra of mosquito cuticle
35313091,text mining,deep learning algorithm
35308960,other,MUPOD
35304638,other,DL algorithm
35304305,both,federated learning
35304117,text mining,AI
35301688,other,ECG-based machine learning models
35299273,text mining,NIR-labeled peptide heterodimer
35296488,text mining,privacy-by-design third-party linkage approach
35281948,other,broad learning system
35264189,other,machine learning
35260715,other,reverse-transcription loop-mediated isothermal amplification
35247764,other,deep learning models
35233612,other,3D CNN model
35216571,text mining,Cox proportional-hazards regression
35213361,other,vocabulary selection
35210447,other,transfer learning approach
35210147,text mining,deep learning algorithm
35206201,other,Deep Learning Method
35197214,computer vision,deep learning algorithm
35196309,other,LSTM model
35182291,text mining,minimum intensity projection
35181661,other,Phages from Metagenomics Binning
35177443,other,machine learning algorithms
35168624,text mining,MIDDM model
35145158,both,deep learning-based methodology
35144240,text mining,social media analysis
35137543,other,low-dose computed tomography
35136672,both,visual analytic
35130176,other,Deep learning models
35115652,other,hybrid Deep Learning (DL) model
35100119,other,end-to-end predication system
35089976,other,encoder-decoder LSTM models
35078755,other,non-systematic review
35071603,computer vision,deep transfer learning-based model
35070385,computer vision,AI-based auxiliary tools
35062267,other,ML
35061767,computer vision,chest radiography
35039524,computer vision,clinical-grade imaging
35035520,other,CNN algorithm
35025860,other,tree-based ML algorithms
35022216,other,statistical models
35020582,other,deep learning
35005676,other,intake ECGs
35005108,both,Deep learning algorithm
35002454,other,Machine Learning
34997958,other,risk adjustment
34995129,text mining,blood-based biomarker panel
34993813,other,deep learning models
34993487,other,electrocardiograms
34992127,both,deep learning-based reconstruction
34991439,other,transfer learning
34984979,text mining,machine learning
34977839,computer vision,data science
34976110,other,stepwise regression
34963141,other,logistic/linear regression and deep learning
34943603,other,COVLIAS model
34938362,other,DL-based AE approach
34934420,other,deep learning-based time-series techniques
34933273,text mining,deep learning sentiment analysis model
34932550,other,SpO2 Waveform ICU Forecasting Technique
34930527,other,phase-contrast X-ray tomography
34927670,other,decision tree methods of Random Forest and XGBoost
34920477,text mining,early high-risk factors detection
34917694,text mining,AI-based CXR analysis
34912370,other,external validation step
34910160,other,Deep learning
34902546,both,trustworthy AI
34891713,other,database from the United Network for Organ Sharing (UNOS)
34888528,text mining,deep-learning
34887475,text mining,deep learning tool DeepCC
34876644,computer vision,deep learning model
34876475,other,convolutional neural networks
34874877,text mining,aspect-base sentiment analysis
34872006,other,baseline questionnaire
34871936,text mining,computer-aided detection
34870131,other,deep learning
34854737,other,bidirectional deep neural networks
34848761,other,deep graph neural network
34838025,other,multimodal deep learning model
34833156,other,artificial intelligence
34829372,other,GT annotations
34815236,both,Deep learning-based models
34814160,both,single examination
34811468,other,hybrid deep learning-based algorithm
34810137,both,digital radiographs
34805078,computer vision,deep learning model
34790004,text mining,lifelong surveillance
34770108,other,one-variate model
34766229,other,cohort and trajectory analysis
34759971,text mining,drone surveys and statistically rigorous entomological sampling
34756513,text mining,molecular profiling
34753963,text mining,Deep Learning (DL) models
34750962,other,non-probability sampling method
34749095,other,non-categorical NRI
34745954,other,deep learning model
34745489,other,deep learning
34743566,other,saliency mapping
34743558,computer vision,machine learning
34741093,other,deep learning
34741028,other,morphodynamics) for cell-drug interactions directly from images
34729056,other,AI
34728455,text mining,artificial intelligence
34722280,text mining,Computational methods
34713592,other,deep learning convolutional neural networks
34708730,both,systematic literature search was performed using the PubMed database
34708729,other,Cost-effective sustainable models
34698568,text mining,Preoperative mediastinal staging
34698500,text mining,multi-omics analysis
34697557,other,CNN extracts the complex local contexts of amino acids
34689829,other,based on the sequences of viral genomes
34687416,other,deep learning-based incremental learning technique
34679127,text mining,deep learning algorithm
34674660,other,machine learning
34670278,other,transfer learning with 1DCNN-BiLSTM deep learning algorithm
34665148,other,XGBoost-a gradient-boosted decision tree model
34662291,both,DeepPavlov
34657153,other,sequence embedding strategy
34649700,other,machine-learning
34636634,both,deep learning
34634029,other,deep neural network predictive models
34621251,other,Markov State Models (MSM) and unsupervised deep learning
34617024,both,deep learning-based
34604757,other,Deep learning
34592705,other,Cox regression algorithm
34580407,computer vision,deep learning
34574686,other,multivariate analysis
36417211,other,Epidemiology-Informed Neural Network algorithm
34555069,other,AI techniques
34546931,other,DL)
34544867,other,deep learning algorithm
34535759,other,embedding biologically knowledge from public databases
36713109,text mining,deep learning
34528519,text mining,retrospective
34525746,other,viral air sampling
34524095,text mining,natural language processing pipeline
34517888,both,Multiple linear regression models
34516567,other,long-short term memory (LSTM)
34510340,other,CGCLM multistep method
34498865,computer vision,hybrid approach
34492046,other,five-fold cross-validation scheme
34491135,other,"Deep Learning

"
34491131,other,without breast cancer
34481301,text mining,bibliometrics and Natural Language Processing (NLP)
34479398,other,Deep Learning
34475453,other,docking analysis
34469328,other,deep learning
34465838,other,DeepHoF
34465820,other,Markov
34465384,other,deep learning
38603008,other,AI-driven workflow
34464403,other,5-fold cross validation method
34461589,both,Kaplan-Meier method and Cox regression
34454080,other,Transformer
34453631,other,Deep Neural Networks
34448125,other,a hybrid model combining XGBoost with deep neural network
34438500,both,novel greenness exposure assessment method
34415016,other,computational methods
34413349,other,deep learning models
34411112,other,multi-label sentiment classification
34402800,computer vision,deep learning
34402668,text mining,deep learning algorithm
34400884,both,retrospective
34386786,other,PSSAM-GAN
34375851,other,transmission electron microscopy
34374301,other,unsupervised machine-learning approach
34373554,computer vision,explainable
34373530,other,ROI Hide-and-Seek protocol
34368837,other,AIMEE
34354055,other,effective local mechanisms governing a dynamic on a network are learned from time series data
34345031,both,population-based screening
34344910,other,normative modelling
34342588,text mining,Convolution neural networks
37117770,other,deep learning
34329635,other,SHapley Additive exPlanation (SHAP)
34321491,computer vision,CNN-AE
34312450,both,random survival forest
34306171,other,Label and K-mer encoding
34304175,both,deep learning
34302549,both,big data and AI technology
34297944,both,artificial intelligence
34297817,other,ENNAVIA
34297795,other,prepandemic connectome state
34297793,other,real-time pathogenic potential prediction
34280224,text mining,fully automated body segmentation algorithm
34280122,both,satellite imagery
34261540,other,multi-omics integration methods
34253768,other,COURAGE
34253751,text mining,DeepTCR
34248245,other,mass information gathering
34246638,text mining,deep learning approach
34242349,other,Deep learning models
34237535,other,conditional variational autoencoder
34236204,other,Membrane Association and Secondary Structure Predictor
34225771,text mining,Generalized linear regression
34210530,text mining,Conditional logistic regression
34197473,other,Bayesian neural networks
34197330,other,long short-term memory network
34185055,both,volumetric spectral domain-optical coherence tomography
34184738,other,word embedding method
34173051,both,bitewing radiographs
36249303,both,deep learning algorithm
34160596,other,Sequence-based machine learning
34155559,text mining,integrative approaches
34153076,other,Automating the WHO methodology
34151987,other,single-sourced approach
34151222,other,Our algorithms
34147076,other,deep learning algorithm
34146566,text mining,endoscopically visible
34135101,text mining,small-residual-convolutional-network
34117734,other,deep representation learning
34117050,text mining,multiparametric approach
34107600,text mining,CT imaging
34097708,text mining,CAD-assisted interpretation
34083538,other,crowdsourced benchmarking
34081143,text mining,directed message passing neural network
34077435,other,deep learning classifier
34076817,other,long short-term memory (LSTM) layers and fully connected layers
34073854,both,DNN model
34071801,other,deep learning architecture
34070100,other,health behavior and medical service usage data
34055238,other,recursive feature selection algorithm
34055034,other,chest computed tomography
34051452,other,dynamically parametric-based fusion method
34045472,other,multilayer network analysis
34043172,other,deep learning
34039635,both,deep learning algorithm
34039562,both,machine learning
34009266,other,beta-binomial distribution
33986751,text mining,Telescope
33984043,other,deep reinforcement learning
33983596,computer vision,Clinical databases
33977077,other,deep convolutional neural network
33974652,other,Linux embedded system
33972645,computer vision,hardware
33969307,text mining,Automated CT algorithms
33968885,text mining,retrospective
33961681,other,attention-based deep learning
33961635,other,EfficientNetB3-based feature extractor
33961583,both,PubMed
33956083,both,deep learning algorithm
33955840,both,supervised prediction algorithms
33954175,computer vision,augmentation approach
33953523,other,black box machine learning
33947843,both,Deep learning and gene set enrichment analysis
33947697,computer vision,fluorodeoxyglucose (FDG)-PET imaging
33939622,text mining,Facebook and Twitter
33936451,other,Ada-SiT
33936391,other,deep learning approach
33930734,other,Convolutional Neural Network-based models
33930132,other,AUROC
33927287,text mining,elastic-net Cox survival model
33923155,text mining,machine learning algorithms
33918368,other,virus-induced cytopathic effects
33907522,other,search the literature using the different academic databases
33905341,other,precise prognostic tool
33903608,other,random forest method
33900932,both,deep learning
33900581,other,urine output trends
33893332,other,targeted sequencing technology
33886097,other,a detailed review of the role of AI
33882012,text mining,contactless
33870846,other,QS quantitative analysis
33866349,other,concatenation
33858815,both,retrospective analysis
33851951,text mining,cohort
33848973,computer vision,neural search architecture network (NASNet)-based algorithm
33847813,computer vision,5-fold cross-validation
33837675,other,"long short-term memory (LSTM), a deep learning model"
33835928,other,heterogeneous radiographic collection
33829463,other,machine learning
33829409,other,computational
33811763,both,automated morphologic image analysis algorithm
33807714,other,machine learning
33789673,text mining,XGBoost model
33788696,other,machine learning
33785839,other,looking over clinician's shoulders
33770362,other,cross-validation
33769939,other,deep learning model
33767213,text mining,deep learning and manual segmentation
33763347,text mining,deep-learning algorithm
33747937,text mining,ultrasound images
33738639,other,transfer learning-based COVID-19 screening technique
33735088,computer vision,image retrieval approach
33724919,other,natural language processing and deep learning-based techniques
33721769,text mining,noise reduction techniques
33714840,other,machine learning techniques
33711543,other,Hierarchical Label-wise Attention Network
33710962,other,a year of pharmacy and hospitalisation claims
33693490,other,machine learning-based prediction methods
33690143,other,data mining
33686818,other,automated image analysis
33684130,text mining,deep learning
33680946,text mining,"surveillance, epidemiology and end results (SEER) database"
33680071,other,deep learning models
33649429,other,you-only-look-once (YOLO) algorithm
33641077,other,Computed tomography
33637645,text mining,multivariable linear regression
33631067,text mining,National Health Insurance Service-Health Screening
33613111,other,deep neural network
33610001,both,ReliefF algorithm
33607378,other,transfer learning
33603047,computer vision,real-time reverse transcription PCR (RT-PCR) assay
33602128,other,cross-sectional study method
33597560,text mining,Machine learning
33594415,other,deep learning architecture
33594374,other,natural language processing
33594159,other,computed tomography
33591049,other,manual variable selection approach
33590764,other,deep neural network-based generative and predictive models
33588584,other,Deep learning
33587262,other,deep-learning
33568759,text mining,deep learning models
33565027,other,deep learning model
33556604,both,Area-Under-the-ROC-Curve analysis
33552965,other,input reconstruction mechanism
33547380,other,in silico data
33545985,other,Web of Science Core Collection
33539308,other,automated machine learning
33536460,other,artificial intelligence
33532975,both,K10 protocol
33528225,other,deep learning-based methods customized for macaques
33527788,other,K-means algorithm
33519324,other,deep learning algorithm
33516917,computer vision,Automatic segmentation was carried out by applying a deep learning segmentation algorithm
33514365,text mining,post-hoc analysis
33513487,other,data mining
33507353,both,Manually sampled volumetric BMD
33505353,text mining,computed tomography (CT) scans
33499405,text mining,artificial neural network
33499335,computer vision,Hyperspectral remote sensing
33495161,text mining,Regression analysis
33486527,other,a graph attention network
33479383,text mining,machine learning
33471800,computer vision,ML) modelling
33469691,both,deep learning methods
33462882,other,machine learning
33461009,other,deep learning techniques
33441830,other,Cox proportional hazards (CPH) model
33440674,other,advanced deep network architectures
33435812,other,artificial intelligence algorithm
33422330,other,Transfer Learning
33420133,other,heuristic algorithms
33417306,other,deep learning
33407098,other,deep learning
33400971,text mining,ECGs
33399979,both,multivariable logistic regression
33398067,computer vision,deep learning framework
33394945,both,multicenter survey
33389425,both,deep learning algorithm
33387306,other,data augmentation technique using generative adversarial network (GAN)
33381600,both,deep learning
33378261,computer vision,Supervised machine learning
33352801,other,deep learning
33343851,other,Dense Convolutional Neural Network
33335183,other,deep learning pipeline
33332412,other,targeted UAPs
33331920,text mining,DL semantic signature
33328123,computer vision,retinal photography
33326405,both,AI-based methods
33324663,text mining,big data analytics
33321199,other,deep learning-based approach
33320858,other,OGA-ELM
33306549,other,graph-based deep learning
33301073,computer vision,CXRs
33288551,other,deep-learning image analysis
33285482,other,computer-aided diagnosis with deep learning methods
33284779,other,narrative
33283521,other,X-ray tomography
